c#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	218952	11972675	9.69004	0.186637	37.3	49.9
chr2	1	84979418	147554	8180556	9.62651	0.184051	37.2	50.1
chr3	1	92479059	164046	9025687	9.75971	0.187311	37.3	50
chr4	1	89535178	160849	8811231	9.84108	0.189818	37.3	49.8
chr5	1	89562946	159427	8819889	9.8477	0.189199	37.2	50.9
chr6	1	78113029	139273	7667895	9.81641	0.188501	37.3	50.1
chr7	1	81081596	143867	7928151	9.77799	0.187954	37.3	50.3
chr8	1	76405709	134606	7401079	9.68655	0.186378	37.3	49.6
chr9	1	61171909	106663	5915569	9.6704	0.185026	37.2	50.8
chr10	1	70643054	125915	6971611	9.86878	0.189097	37.2	50.7
chr11	1	74805798	134233	7399595	9.89174	0.190377	37.3	49.3
chr12	1	72970719	130406	7076205	9.69732	0.187036	37.4	49.7
chr13	1	64299765	113497	6200631	9.64332	0.185527	37.3	49.6
chr14	1	61112200	109758	5979259	9.78407	0.188283	37.4	49.7
chr15	1	64676183	115564	6297602	9.73713	0.187414	37.3	49.7
chr16	1	60362399	105651	5830559	9.65926	0.184423	37.3	49.6
chr17	1	65088165	115064	6338179	9.73784	0.187279	37.3	50
chr18	1	56472973	99882	5509882	9.75667	0.187416	37.2	50.1
chr19	1	55516201	99111	5400469	9.72774	0.187332	37.4	49.3
chr20	1	58627490	102913	5730902	9.77511	0.187066	37.2	51
chr21	1	51742555	91898	5032637	9.7263	0.186986	37.4	49.2
chr22	1	61573679	110937	5952339	9.66702	0.187219	37.4	49.5
chr23	1	53134997	95738	5267529	9.91348	0.191105	37.4	50
chr24	1	48566227	84651	4734034	9.74758	0.185975	37.2	50.7
chr25	1	51730745	93967	5141973	9.93988	0.191251	37.3	50.1
chr26	1	39257614	66250	3739060	9.52442	0.181477	37.2	50
chr27	1	46662488	83095	4554862	9.76129	0.187575	37.3	49.7
chr28	1	41733330	72753	4036485	9.67209	0.185366	37.3	50.6
chr29	1	42517134	76848	4166081	9.79859	0.189	37.4	49.4
chr30	1	40643782	71567	3946471	9.7099	0.186444	37.3	50.4
chr31	1	39901454	71689	3892398	9.75503	0.187915	37.3	49.5
chr32	1	40225481	72023	3910537	9.72154	0.187581	37.4	48.7
chr33	1	32139216	56946	3093645	9.62576	0.185892	37.3	49.3
chr34	1	42397973	76199	4184654	9.86994	0.189726	37.3	50
chr35	1	28051305	51731	2841150	10.1284	0.196414	37.2	48.3
chr36	1	31223415	56897	3060365	9.80151	0.189844	37.3	49.7
chr37	1	30785915	54796	2997658	9.73711	0.187349	37.3	50.3
chr38	1	24803098	43749	2369739	9.55421	0.18457	37.2	49.7
chrX	1	124992030	218016	12228386	9.78333	0.18816	37.3	49
