#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	123556469	303805	18351884	14.853	0.2975	37.2	56
chr2	1	84979418	208518	12630298	14.8628	0.29735	37.2	56.1
chr3	1	92479059	228190	13820300	14.9442	0.299343	37.3	56.3
chr4	1	89535178	221010	13351672	14.9122	0.299216	37.3	55.9
chr5	1	89562946	224411	13536622	15.1141	0.302905	37.2	56.6
chr6	1	78113029	192050	11599678	14.8499	0.297775	37.2	56.1
chr7	1	81081596	200850	12188630	15.0325	0.300466	37.3	56.4
chr8	1	76405709	187618	11327058	14.8249	0.297819	37.3	55.6
chr9	1	61171909	150111	9041089	14.7798	0.295578	37.1	56.4
chr10	1	70643054	174912	10578736	14.9749	0.299604	37.2	56.5
chr11	1	74805798	185430	11270432	15.0663	0.301473	37.3	55.6
chr12	1	72970719	178518	10768863	14.7578	0.295801	37.3	56.2
chr13	1	64299765	156779	9491344	14.7611	0.295381	37.3	56
chr14	1	61112200	150686	9137651	14.9523	0.299582	37.3	56.1
chr15	1	64676183	158224	9570836	14.7981	0.295678	37.2	56
chr16	1	60362399	146963	8883031	14.7162	0.295271	37.2	55.9
chr17	1	65088165	162754	9794420	15.0479	0.304012	37.2	55.8
chr18	1	56472973	141799	8539611	15.1216	0.304193	37.2	55.9
chr19	1	55516201	135538	8192260	14.7565	0.295969	37.3	55.6
chr20	1	58627490	144283	8720553	14.8745	0.296833	37.2	56.5
chr21	1	51742555	126975	7714074	14.9086	0.298166	37.3	55.5
chr22	1	61573679	150857	9079103	14.7451	0.296619	37.3	56.2
chr23	1	53134997	131492	7944203	14.951	0.300227	37.3	56.4
chr24	1	48566227	119535	7216672	14.8594	0.297972	37.2	56.4
chr25	1	51730745	128213	7743352	14.9686	0.299794	37.3	56.3
chr26	1	39257614	94971	5768380	14.6937	0.293249	37.1	55.3
chr27	1	46662488	113795	6893824	14.7738	0.295536	37.3	55.9
chr28	1	41733330	102375	6166193	14.7752	0.295956	37.2	56.3
chr29	1	42517134	104424	6289381	14.7926	0.297186	37.3	55.7
chr30	1	40643782	98842	6007883	14.7818	0.294579	37.2	56.4
chr31	1	39901454	97454	5864584	14.6977	0.294771	37.2	56
chr32	1	40225481	97849	5908908	14.6895	0.295414	37.4	55.2
chr33	1	32139216	77278	4666455	14.5195	0.290248	37.3	55.6
chr34	1	42397973	106102	6415442	15.1315	0.303793	37.3	56
chr35	1	28051305	71965	4270503	15.2239	0.311772	37.2	53.7
chr36	1	31223415	76137	4598169	14.7267	0.294307	37.2	56.2
chr37	1	30785915	75646	4576206	14.8646	0.297139	37.3	56.6
chr38	1	24803098	59083	3595248	14.4952	0.287664	37.2	55.8
chrX	1	124992030	173209	10544384	8.43605	0.163354	37.2	51.8
